planet_mass0,period0,eccentricity0,inclination0,argument0,longnode0,mean_anomaly0,planet_mass1,period1,eccentricity1,inclination1,argument1,longnode1,mean_anomaly1,planet_mass2,period2,eccentricity2,inclination2,argument2,longnode2,mean_anomaly2,planet_mass3,period3,eccentricity3,inclination3,argument3,longnode3,mean_anomaly3,star_mass,num_planets
2.206844550762132e-05,45.15370877143667,0.021437378851963215,90.0,-172.96280350450647,8.827812596100315e-32,-127.36574576596979,1.7135817126371826e-05,85.32050474839734,0.010122253940845463,90.0,3.2872395597402893,4.4139062980501595e-31,-146.5425177455384,1.728913637325512e-05,130.1944150422471,0.0047515505474302715,90.0,16.494509182298394,3.531125038440127e-31,-84.69241003134857,2.1529240946072376e-05,265.36603865871325,0.005335282801313067,90.0,13.333436498954574,-6.179468817270225e-31,-53.22762266149162,1.0,4
2.1500038086887435e-05,45.1539176723166,0.02276392083882582,90.0,-173.6425635485522,0.0,-126.52995200082843,1.7536346198852906e-05,85.31917662949195,0.0006809460973546784,90.0,-169.6553405656265,-8.827812596100315e-32,27.62585458765449,1.8302691153084568e-05,130.1952069738232,0.004226151203004909,90.0,167.86382702226788,0.0,124.9338144141712,1.9308150772370668e-05,265.2218644838543,0.017214260726382956,90.0,-173.5249795089155,4.855296927855174e-31,132.32003908292933,1.0,4
2.293088069945467e-05,45.153725181747824,0.022283076769004616,90.0,-177.64334222471263,-1.1034765745125397e-31,-122.5718235239151,1.8808026585310068e-05,85.32139409057237,0.0057547848402722404,90.0,4.7485811692986335,-2.2069531490250793e-31,-147.48466361658072,1.5489363174586524e-05,130.19638273092835,0.0026815537174756693,90.0,56.13415761686027,7.062250076880254e-31,-123.98073752361839,2.3544701615319642e-05,265.2307032508512,0.011453771305957889,90.0,136.1241494845202,-7.062250076880254e-31,178.2187699018033,1.0,4
1.790181200709148e-05,45.15387596515305,0.01724423276766104,90.0,172.3829348850648,1.7655625192200634e-31,-113.20309127395754,2.077825391124322e-05,85.31642240345533,0.00831996315915699,90.0,-50.06171024706423,0.0,-92.6710652166346,2.383260336475084e-05,130.1960361686364,0.003569253986863603,90.0,-63.770555954229934,0.0,-4.086775414805148,1.483198731554571e-05,264.1893777111573,0.022613739771373247,90.0,-97.46355554395345,8.827812596100319e-32,46.43798745758912,1.0,4
1.841720594526541e-05,45.15395019512515,0.01565832691107583,90.0,172.27966909164465,-2.648343778830095e-31,-113.27966786034301,2.1189697352939913e-05,85.31687027897576,0.010456935622572315,90.0,-54.65406686694947,0.0,-88.15520602459898,2.2622097363542787e-05,130.19644403974414,0.005359513325225454,90.0,-65.63179576758378,0.0,-2.2983378859628636,1.539715022632995e-05,264.15855504143116,0.025563870585227647,90.0,-93.61883576555917,0.0,42.32967429684949,1.0,4
1.9664379919578128e-05,45.15395711884334,0.017976264767411286,90.0,-171.9196295878966,-3.531125038440127e-31,-128.81247669751443,1.911932147416253e-05,85.31863768106264,0.0046609001242723285,90.0,41.17625914672966,-3.531125038440127e-31,176.32891170539776,1.8013925314511863e-05,130.1964725667153,0.004037863572560849,90.0,97.99812834549161,8.827812596100319e-32,-165.6124079143401,1.5346257991582784e-05,265.02879535885904,0.030382021596006652,90.0,174.3750543201034,-2.2069531490250797e-31,128.71098866944112,1.0,4
1.324770172347672e-05,45.153860099288295,0.017019194158846476,90.0,-173.7157502008041,3.531125038440127e-31,-127.11838202515472,1.7736919499112092e-05,85.31616225104841,0.01157337128634196,90.0,2.15697616342063,0.0,-145.59911061199386,1.9229564989299647e-05,130.19153414253958,0.00588393893795598,90.0,16.810323260884175,1.765562519220063e-31,-85.14211146291338,1.2892729841566443e-05,264.43649493232357,0.020651432448000568,90.0,-100.08359617553272,-1.765562519220063e-31,49.18955616317278,1.0,4
1.5479629712066896e-05,45.15385521134729,0.02102132843270191,90.0,-164.32022722188586,0.0,-136.1270858094453,1.7554773596062377e-05,85.31690839429898,0.006946173824438853,90.0,-34.20088480428632,0.0,-108.57609029471918,1.9604946703978026e-05,130.1923702149457,0.0020583558729690694,90.0,-72.85976885600812,-1.7655625192200639e-31,5.105378474986467,1.3081036439358928e-05,263.99286161852376,0.02976173328796035,90.0,-104.44283035158325,1.7655625192200634e-31,54.75735798376885,1.0,4
1.8131395210211118e-05,45.153829025531934,0.02049061367371182,90.0,-175.4543871153886,2.206953149025079e-31,-124.97742802838023,1.7782254016946475e-05,85.31783037440978,0.005669208950622509,90.0,15.311708161055353,-1.7655625192200639e-31,-158.05178858067194,2.0087209116706098e-05,130.19377668526926,0.002635165901899892,90.0,72.42430624291502,-3.531125038440127e-31,-140.19740224392115,1.407960814665813e-05,263.93164121055605,0.017290766732185252,90.0,-100.81669668897548,3.5311250384401278e-31,52.35817448318763,1.0,4
2.0891141283630368e-05,45.15378479063534,0.019205147659637063,90.0,-174.80983631150195,-4.413906298050158e-31,-125.77208604889132,1.818506910540482e-05,85.31911575640832,0.008640123879188154,90.0,-6.1777432869601245,-1.3241718894150474e-31,-136.91496468837946,1.9533070680763577e-05,130.1950560096567,0.003583765437123154,90.0,6.86098760295916,2.6483437788300947e-31,-74.94756660577798,1.6857026688726724e-05,264.8480545727576,0.011129535474483048,90.0,-101.78261400367779,-4.413906298050159e-31,55.014624276953654,1.0,4
