planet_mass0,period0,eccentricity0,inclination0,argument0,longnode0,mean_anomaly0,planet_mass1,period1,eccentricity1,inclination1,argument1,longnode1,mean_anomaly1,planet_mass2,period2,eccentricity2,inclination2,argument2,longnode2,mean_anomaly2,planet_mass3,period3,eccentricity3,inclination3,argument3,longnode3,mean_anomaly3,star_mass,num_planets,srad,smass,pmass0,pmass1,pmass2,pmass3,chi2
5.69321359629185e-06,45.153488043830976,0.037440187838429416,90.0,-122.59717614729333,-3.531125038440127e-31,-177.8081769083786,1.272314221444545e-05,85.31445016098566,0.05075093384548501,90.0,-41.027406399690356,3.531125038440127e-31,-105.60394720037625,1.3169907428612125e-05,130.18821598164817,0.039348672251394115,90.0,-48.392703820494354,0.0,-22.356130509116966,0.00017507516309502567,1690.4274476780836,0.7023865743633282,90.0,-73.42630399073012,-5.296687557660193e-31,-117.36819071561793,1.0,4,0.0040459089,1.0,5.69321359629185e-06,1.272314221444545e-05,1.3169907428612125e-05,0.00017507516309502567,66.24774410841164
5.386412128451633e-06,45.153492224600235,0.03140214125140218,90.0,-138.6103949448938,-7.062250076880254e-31,-161.4193487837446,1.3399102606511827e-05,85.30941331906921,0.019067646913883823,90.0,-11.67347192540322,-1.765562519220063e-31,-132.58950798504483,1.949170351715347e-05,130.19281271497633,0.011824518666030154,90.0,-11.164634049269646,-1.7655625192200634e-31,-57.84112667122707,0.0003000001282446499,1920.756873936587,0.6919494874708578,90.0,-124.39842087265755,3.531125038440127e-31,-14.104912695704066,1.0,4,0.0040459089,1.0,5.386412128451633e-06,1.3399102606511827e-05,1.949170351715347e-05,0.0003000001282446499,66.26045570648941
5.79384712771133e-06,45.15344081628413,0.03894606716183381,90.0,-120.90215100081511,0.0,-179.51953341445872,1.2588016329275103e-05,85.31461414958399,0.05570401862286894,90.0,-42.21873906569534,0.0,-104.7761600625963,1.295583891598367e-05,130.1881114573838,0.0434765090135196,90.0,-49.075048862292014,3.531125038440127e-31,-21.95824311055434,0.00015615057299826258,1690.4990312356397,0.7103085071723257,90.0,-70.53330473850856,0.0,-117.46323817678548,1.0,4,0.0040459089,1.0,5.79384712771133e-06,1.2588016329275103e-05,1.295583891598367e-05,0.00015615057299826258,66.28022217565137
7.057991598916994e-06,45.15349065876843,0.04421404364772024,90.0,-126.33718191509678,0.0,-173.3494305154627,1.2546688937389044e-05,85.31559780915501,0.057317260520992334,90.0,-55.77932972108014,0.0,-90.17851416614369,1.4102834643516191e-05,130.18829427515752,0.04405505825718397,90.0,-63.403114571739344,0.0,-6.613472633604384,0.0009456440412782126,1494.0628102796793,0.5795595516026681,90.0,-113.85797196493357,0.0,-161.97374158664218,1.0,4,0.0040459089,1.0,7.057991598916994e-06,1.2546688937389044e-05,1.4102834643516191e-05,0.0009456440412782126,66.28902644435287
5.859448850115248e-06,45.15343704154902,0.03875824789784211,90.0,-120.88323105256455,-1.765562519220063e-31,-179.55136469603343,1.2605628283440306e-05,85.31465070858707,0.05576077218496777,90.0,-42.003088876942925,3.5311250384401278e-31,-105.01276669625518,1.2998473552280783e-05,130.18812778154535,0.04349430608798894,90.0,-48.82736198584496,-7.0622500768802555e-31,-22.223680620382638,0.00015520771773268,1690.5021043157487,0.7107120030642202,90.0,-70.28323814680236,5.296687557660194e-31,-117.47918361247788,1.0,4,0.0040459089,1.0,5.859448850115248e-06,1.2605628283440306e-05,1.2998473552280783e-05,0.00015520771773268,66.3046117100524
7.945177940915386e-06,45.1534458122287,0.0342166734741119,90.0,-130.369772864558,3.531125038440126e-31,-169.81511663760335,1.2719969163406869e-05,85.31635753054974,0.03859172923472387,90.0,-23.789116622168308,1.7655625192200634e-31,-122.42414602748335,1.4129823931453881e-05,130.18841740302014,0.027325626610007012,90.0,-29.6329357581599,-5.2966875576601895e-31,-40.80594843141983,4.355800781620316e-05,780.1389919048245,0.5652124867566957,90.0,-53.848972466982715,0.0,102.87317135614164,1.0,4,0.0040459089,1.0,7.945177940915386e-06,1.2719969163406869e-05,1.4129823931453881e-05,4.355800781620316e-05,66.58214947033997
7.308381270552029e-06,45.15342370122447,0.034278828342310906,90.0,-130.42306791055304,0.0,-169.75438010106132,1.2703718976537069e-05,85.31603740717146,0.03924239790328556,90.0,-22.98914515429338,0.0,-123.3198530901462,1.4163653248174742e-05,130.18811631503326,0.027759705845092596,90.0,-28.605072122506662,1.765562519220063e-31,-41.9051974608448,3.187154326125033e-05,779.9662339920335,0.57783387744276,90.0,-54.13118774081422,0.0,102.94832259130251,1.0,4,0.0040459089,1.0,7.308381270552029e-06,1.2703718976537069e-05,1.4163653248174742e-05,3.187154326125033e-05,66.60690836037553
7.210453008813649e-06,45.153498335457236,0.04435263365877995,90.0,-126.03291146003099,3.531125038440127e-31,-173.6657845156921,1.2550292520211572e-05,85.31569654866998,0.05790485287424648,90.0,-56.11423013851156,-3.531125038440127e-31,-89.85122349318867,1.412951097019395e-05,130.18834047271974,0.04452642592827017,90.0,-63.69950954648896,1.765562519220063e-31,-6.318534963594509,0.0009417731985017479,1493.9500343718516,0.5786918867568258,90.0,-114.64112184317771,3.531125038440126e-31,-161.9495893216188,1.0,4,0.0040459089,1.0,7.210453008813649e-06,1.2550292520211572e-05,1.412951097019395e-05,0.0009417731985017479,66.67438134782788
5.354805923531931e-06,45.15343271038374,0.021843136821889722,90.0,-147.72496392103255,0.0,-152.91550371211034,1.4575005728574511e-05,85.31577332060812,0.031626926022259784,90.0,1.1360499783124756,3.3104297235376184e-32,-146.86854212468214,2.1092859413813474e-05,130.18725248819388,0.020956562215942894,90.0,9.38250350210219,-1.7655625192200645e-31,-79.43501615019234,7.93251788981262e-05,1334.3356628432825,0.636578679280929,90.0,-146.20533157292337,3.531125038440126e-31,-81.22147099697283,1.0,4,0.0040459089,1.0,5.354805923531931e-06,1.4575005728574511e-05,2.1092859413813474e-05,7.93251788981262e-05,66.7302590770548
8.14324088178485e-06,45.153513109228825,0.02898457903264736,90.0,-136.78221839780463,0.0,-163.53564233937772,1.3791516190640808e-05,85.31727528956372,0.031524806441364,90.0,-20.089148985591354,-3.5311250384401286e-31,-125.44547369736412,1.778057775674513e-05,130.18724065622436,0.020999081629740384,90.0,-26.56008997336926,1.7655625192200639e-31,-43.298827490874665,2.3700007882397832e-06,173.32504155332015,0.12676758875843483,90.0,-48.52349343250206,-3.5311250384401278e-31,-68.16604726246386,1.0,4,0.0040459089,1.0,8.14324088178485e-06,1.3791516190640808e-05,1.778057775674513e-05,2.3700007882397832e-06,66.76825973502027
7.021156656972345e-06,45.15349103630292,0.04453366118356068,90.0,-125.87381948558259,0.0,-173.82350422213847,1.2513224013176585e-05,85.31563840854302,0.05882524326239597,90.0,-56.00610426465784,3.531125038440126e-31,-90.03349467434599,1.4058957755575496e-05,130.1882536961563,0.045237521603645185,90.0,-63.50157116293458,3.531125038440127e-31,-6.571220341059552,0.0009498105024469474,1493.9624144961635,0.578673453086523,90.0,-115.02617707791082,0.0,-161.93111150432196,1.0,4,0.0040459089,1.0,7.021156656972345e-06,1.2513224013176585e-05,1.4058957755575496e-05,0.0009498105024469474,66.86411094418025
7.736635621642475e-06,45.15348731815524,0.027178460220030936,90.0,-137.84224135624785,0.0,-162.59210590508428,1.405828219550668e-05,85.3167976118911,0.03259124896123444,90.0,-16.76096898005545,1.7655625192200634e-31,-128.95703777332378,1.737438040132698e-05,130.1871202154605,0.02174619817020179,90.0,-21.80995124776516,3.531125038440127e-31,-48.20917825123921,2.505070919848206e-06,173.34589635418837,0.12310866725098873,90.0,-38.71340228113693,3.5311250384401278e-31,-75.15215375400768,1.0,4,0.0040459089,1.0,7.736635621642475e-06,1.405828219550668e-05,1.737438040132698e-05,2.505070919848206e-06,66.88370463158033
1.872725570304932e-05,45.15379093767205,0.0141984302890514,90.0,-169.79942962471546,2.648343778830095e-31,-131.37178372219293,1.950396717187543e-05,85.31795175897288,0.017651634525695594,90.0,-23.285406051929932,-3.531125038440127e-31,-120.6909471721672,2.0268714140252972e-05,130.1968769476996,0.010906589619142289,90.0,-23.311393155069165,-1.7655625192200634e-31,-45.522392556315225,1.4930766602103269e-05,263.9086346760496,0.02562484813472619,90.0,-101.32377969991063,-8.827812596100319e-32,37.30078820881979,1.0,4,0.0040459089,1.0,1.872725570304932e-05,1.950396717187543e-05,2.0268714140252972e-05,1.4930766602103269e-05,66.89430089297933
2.0055874254209246e-05,45.153799586470626,0.013975789179443516,90.0,-172.32189791395007,2.648343778830095e-31,-128.8643201622695,1.9825783294758903e-05,85.31828608305236,0.01673449756545304,90.0,-24.71129736551534,-1.7655625192200634e-31,-119.14679772272238,2.0739881270021783e-05,130.19694218360664,0.010184379270359182,90.0,-24.070099267419444,0.0,-44.67868987394265,1.6241457402682654e-05,264.0312693775639,0.025300718825574907,90.0,-86.86847942222117,3.3104297235376187e-31,28.43059335904085,1.0,4,0.0040459089,1.0,2.0055874254209246e-05,1.9825783294758903e-05,2.0739881270021783e-05,1.6241457402682654e-05,66.90164596158031
6.4111226303338306e-06,45.15311917499803,0.04103208833929678,90.0,-119.80962156383782,-3.531125038440127e-31,179.43778140456598,1.222209616000777e-05,85.31767566864536,0.06911336221582892,90.0,-39.64480537879102,-3.531125038440127e-31,-108.76838177288046,1.4282040175772778e-05,130.18625462809104,0.05102553885261588,90.0,-42.94294600855167,3.531125038440127e-31,-29.14331760817164,0.0002258434459714436,2324.475366809043,0.7069544601290974,90.0,164.29129263485007,-1.765562519220063e-31,157.26092707632563,1.0,4,0.0040459089,1.0,6.4111226303338306e-06,1.222209616000777e-05,1.4282040175772778e-05,0.0002258434459714436,66.91066627945128
