planet_mass0,period0,eccentricity0,inclination0,argument0,longnode0,mean_anomaly0,planet_mass1,period1,eccentricity1,inclination1,argument1,longnode1,mean_anomaly1,planet_mass2,period2,eccentricity2,inclination2,argument2,longnode2,mean_anomaly2,planet_mass3,period3,eccentricity3,inclination3,argument3,longnode3,mean_anomaly3,star_mass,num_planets,chi2
8.934721182582389e-06,45.153833369195354,0.03888341337097544,90.0,-131.84929855406173,0.0,-167.88671519304117,1.261809996695891e-05,85.31819464689443,0.026832229362182318,90.0,-38.12992218382453,-3.5311250384401278e-31,-106.41397262031255,2.1555416698373774e-06,108.36726936414887,0.011656891749951265,90.0,2.354068154054002,-1.9862578341225716e-31,35.91372949288886,1.0459123243419313e-05,130.19046050412598,0.019539440090809945,90.0,-50.031539505627165,0.0,-19.113969612252944,1.0,4,84.68603136587555
5.217317428447256e-06,45.153681312223625,0.026073603811665482,90.0,-134.13177846017012,0.0,-166.53323620765553,1.4759014343740226e-05,85.31566177186761,0.03176117957627804,90.0,-27.960710689249517,1.765562519220063e-31,-117.40477961236911,1.0000115358729496e-06,111.9733540853616,0.025922283602372163,90.0,-25.095144611064693,0.0,-69.79454982401501,1.0064713329648587e-05,130.18161287838515,0.019581524161953225,90.0,-38.795817673920716,-3.5311250384401278e-31,-30.669148573152977,1.0,4,85.74622803087433
5.056538821696939e-06,45.15472307931498,0.04295232493271451,90.0,178.2931688286838,6.620859447075237e-32,-116.14442274123398,1.1417020784605076e-06,65.47716151934712,0.10043218502527239,90.0,-174.67186668528072,8.827812596100319e-32,96.19305427883643,1.4940538997531103e-05,85.31608375488555,0.04227679971353438,90.0,163.7602890184599,-3.5311250384401278e-31,58.73119232072257,8.928575268400278e-06,130.1889222674938,0.0388750464939881,90.0,165.7243272815132,-1.7655625192200639e-31,130.8688513396889,1.0,4,86.09799082578189
6.217145163736949e-06,45.153639975543555,0.034178165082002956,90.0,-131.12274717737802,0.0,-169.02588145606606,1.2986911188473182e-05,85.31642937153725,0.02890666276656913,90.0,-29.081093901743866,5.296687557660192e-31,-115.95394754510669,1.0000057078271878e-06,103.84633442404032,0.006689993716928819,90.0,-30.69594447138505,7.062250076880252e-31,-16.769927627913948,1.3840195922725043e-05,130.18664109154244,0.019079467390342313,90.0,-38.38092701166839,0.0,-31.03891841711252,1.0,4,86.15244491441109
1.3033267541246185e-05,45.15382343075597,0.029869461651267436,90.0,-134.39816029018385,0.0,-165.94281851297546,1.4389295266901069e-05,85.31815121088178,0.023708547827418283,90.0,-44.22735495068901,0.0,-99.83889768077417,1.0000506956941875e-06,115.62925311338772,0.0052264885388200065,90.0,-42.79800628129775,0.0,172.77294248078599,1.2543830217424076e-05,130.189547597244,0.016822947698139336,90.0,-59.61313239070768,0.0,-9.064322558971515,1.0,4,86.21944757595968
6.990217660265031e-06,45.153806637382665,0.038699161238708875,90.0,-124.90904188808184,0.0,-175.26558453276422,1.2590239032312937e-05,85.3150579980749,0.03296218808685799,90.0,-40.30643467110803,0.0,-104.74491011111762,1.2527202690517906e-06,104.00625397997256,0.003841388999369451,90.0,-28.125319824569583,1.7655625192200639e-31,-98.26473861941743,1.0929892619082139e-05,130.18803708634985,0.02379435051112946,90.0,-49.91778507017687,3.5311250384401286e-31,-19.55401016474348,1.0,4,86.37225614325226
2.411532140032616e-06,45.15396903329868,0.034723679941531214,90.0,-159.3333662816606,1.765562519220063e-31,-139.67620451112705,1.828112131141472e-06,65.46846734929775,0.05393839680284164,90.0,-166.90513125853832,-8.827812596100319e-32,75.77815013745021,1.3793137273458481e-05,85.31239881208417,0.012514567733505315,90.0,-59.997266824809444,-5.2966875576601895e-31,-82.87830320336428,2.0442720892090795e-05,130.18647091356914,0.009545250736334393,90.0,-90.03536811244716,-1.282791517870827e-31,22.34160055698531,1.0,4,86.66696017037688
1.2180945182058162e-05,45.15366321046439,0.022035116046227946,90.0,-140.33084694246278,-7.062250076880254e-31,-160.48020315741954,1.565584607893891e-05,85.31683574259955,0.027535265699126114,90.0,-22.582857189168813,1.7655625192200634e-31,-122.4572405654768,1.0000039290566738e-06,104.53474383463706,0.033346097304135354,90.0,-21.42292694670286,1.7655625192200639e-31,-90.83787150611364,1.6891681363654786e-05,130.18766872364176,0.017533153032802593,90.0,-27.224406716933572,-1.7655625192200639e-31,-42.2679758857872,1.0,4,87.19379471791204
6.919934765648361e-06,45.15379404180448,0.04431729324101716,90.0,-170.6204547898884,-8.827812596100319e-32,-127.11361219010249,1.4229595924467999e-06,65.46289925750543,0.07417330550894277,90.0,-168.821845092993,-1.7655625192200639e-31,65.64331424725985,1.4113383350342483e-05,85.31311836447728,0.03659705330773015,90.0,128.64221189929066,0.0,91.78594959882884,2.2545923974169875e-05,130.18924724554003,0.03242539158709003,90.0,136.7451488482494,-3.5311250384401278e-31,158.22476247260894,1.0,4,88.19802481849246
5.459212368591566e-06,45.1535826516886,0.03215338933760039,90.0,-131.16553403446912,0.0,-169.1402109830762,1.3303161707501984e-05,85.31333219828872,0.03108400964445075,90.0,-27.39951710321224,3.531125038440126e-31,-117.92713251570565,1.0000069396176052e-06,104.37484880547565,0.04248580647100042,90.0,-37.73227406665566,0.0,-166.0916236161434,1.4905715976404406e-05,130.1854149700396,0.021018051380589167,90.0,-33.37557671769037,0.0,-36.349443928464396,1.0,4,88.45052910183604
1.1834113417817815e-05,45.15368031354258,0.022149671155981415,90.0,-138.4472306427609,0.0,-162.4069587471858,1.556876327944715e-05,85.3158107493826,0.026838119839971725,90.0,-23.026558877451727,0.0,-121.95238454495363,1.0848067893202186e-06,103.85792080421713,0.03171201393466741,90.0,-12.561671321976133,1.7655625192200624e-31,171.9603642177404,1.514550106039417e-05,130.18824590114866,0.01733819847010479,90.0,-28.168142183116167,-3.5311250384401278e-31,-41.28808103300729,1.0,4,88.4844523651704
8.280128243597105e-06,45.153954753731476,0.03129517142297165,90.0,-137.11926040321936,-3.531125038440127e-31,-162.98503626789264,1.3966485596956356e-05,85.3162351728188,0.01355341638624999,90.0,-43.40983822336425,0.0,-99.83474191204832,1.000014196809438e-06,108.35908063860515,0.01391883849992879,90.0,61.30632654811038,0.0,122.48450691927916,1.1603628219983262e-05,130.18837743580124,0.008561204927501578,90.0,-67.5831470829914,0.0,-0.4847384042113059,1.0,4,88.72054181391407
1.1750393209710802e-05,45.153886814642995,0.03503505920492502,90.0,-135.48467894160467,-3.5311250384401278e-31,-164.3741635420096,1.3013725673910786e-05,85.31915365239023,0.013452557104795895,90.0,-30.39144101191064,-1.7655625192200639e-31,-113.04173767859648,1.000321204260008e-06,103.85762983691188,0.00876057629875437,90.0,58.02275520661704,1.765562519220063e-31,-93.68549421779765,9.868575449301909e-06,130.19006135129086,0.007485769623678643,90.0,-55.75778089233245,0.0,-12.41658119537186,1.0,4,88.78817831773941
1.852901274360773e-05,45.15251297352245,0.05319201256063819,90.0,173.34510099211056,1.7655625192200634e-31,-110.07675990444147,1.7303926922868743e-06,65.4500853031682,0.061927327185353535,90.0,97.58039330584563,0.0,-107.483745579128,1.4740308121067651e-05,85.32407641033187,0.02023237776442694,90.0,23.89317500383878,3.531125038440127e-31,-168.09097567789095,2.3952148271815633e-05,130.19305111601736,0.011436672101605918,90.0,30.802398985092378,-3.531125038440127e-31,-99.61263242242441,1.0,4,88.86394179334508
1.0191379567848682e-05,45.15391656343973,0.03705197410879252,90.0,-134.76352910582193,0.0,-164.96107344176838,1.2651483195914575e-05,85.31812484361858,0.016074657785391088,90.0,-35.31388130657944,0.0,-108.30218593778027,1.000051937751968e-06,108.37306403137903,0.014881729311770594,90.0,112.14271692455411,-1.7655625192200643e-31,136.79895335420647,9.875751918176827e-06,130.18814393089704,0.010283673835344844,90.0,-59.690964895250595,5.296687557660192e-31,-8.601225186982369,1.0,4,88.90316795796261
8.844890419728783e-06,45.153893161559445,0.035842338613722005,90.0,-128.425414329996,3.5311250384401278e-31,-171.74201329320306,1.3411205780448519e-05,85.31630988731122,0.02995948620860257,90.0,-47.458452682546685,3.531125038440126e-31,-97.01503484204925,2.004228883907562e-06,111.5476090715383,0.013708720312107878,90.0,38.09473400205171,-3.531125038440127e-31,43.47713833026801,9.795039146115244e-06,130.18830205999024,0.02166641622084468,90.0,-56.45223797071688,-3.531125038440127e-31,-12.632459810171268,1.0,4,89.08592161300504
1.1621822750295286e-05,45.15415737024359,0.026311928033893463,90.0,-144.09894717288466,0.0,-156.2041834719876,1.5178351413040485e-05,85.31631785348425,0.0033637374092352207,90.0,-66.07849022196308,-1.765562519220063e-31,-76.19807604256117,1.000095399500451e-06,104.02165401821993,0.024247436149075638,90.0,-5.803460778083534,4.4139062980501597e-32,-178.30781321945997,9.409708065510635e-06,130.19050261541244,0.003988266842437095,90.0,-143.5090546925789,0.0,76.1864053824691,1.0,4,89.38114720665162
9.791442534341145e-06,45.153935160076415,0.029710700781745317,90.0,-139.01657968413468,0.0,-161.15003110119974,1.4176054265129243e-05,85.31644011174765,0.012797581763706493,90.0,-34.56018469593425,-7.062250076880252e-31,-108.76319567573526,1.0000137697485487e-06,108.33186069556199,0.011193415867017938,90.0,62.443399895977066,0.0,118.98938552095495,1.2259493912820058e-05,130.18875104575523,0.007213781525350145,90.0,-58.78397224228098,7.0622500768802555e-31,-9.338451832634346,1.0,4,89.51491395954324
1.1351469849148747e-05,45.153912640503876,0.029145524464867737,90.0,-139.52854960233762,-3.531125038440126e-31,-160.66898640061848,1.399729010611571e-05,85.31922897947207,0.015432030156012511,90.0,-15.59361821642197,0.0,-128.20381150219018,1.000024985829334e-06,103.71049185407557,0.01731018569489385,90.0,-0.958590751110736,7.724336021587778e-32,-119.82652909133918,1.0740669708287938e-05,130.18846049408813,0.007764776094311471,90.0,-32.83133115197266,-3.5311250384401278e-31,-35.612376688712,1.0,4,89.71723505460325
1.173145081322591e-05,45.153758107687665,0.03016426223730494,90.0,-141.77343437823836,0.0,-158.24894134106563,1.4020932891619954e-05,85.31671474584425,0.0208518472726506,90.0,-17.522731031150386,0.0,-126.86775556161278,1.1122878481974441e-06,103.8579294669798,0.011385448846822178,90.0,38.85013956816702,-3.531125038440126e-31,12.746322577563658,1.5651832836271928e-05,130.1900214921689,0.012334786224457682,90.0,-25.416876176612426,0.0,-43.5564639717356,1.0,4,89.74116441540073
1.1799998463852232e-05,45.15374603140119,0.03941392640776659,90.0,-132.14649108081457,3.5311250384401278e-31,-167.5306090788608,1.2048942881029893e-05,85.31781648386148,0.02281990551246201,90.0,-18.663907774928454,-1.765562519220063e-31,-125.93161395583711,1.0000510067567787e-06,104.38303430442066,0.026990326081656822,90.0,-63.286175044158675,0.0,144.67131770342698,1.3117815364436408e-05,130.18873293107214,0.01416566442692492,90.0,-35.30015166000674,0.0,-33.72649482684914,1.0,4,90.05008099408057
